B365Player1,B365Player2,Best of,Date,Player1Pts,Player1Rank,Player1,Player1Sets,Round,Series,Surface,Player2Pts,Player2Rank,Player2,Player2Sets,Winner
3.25,1.33,3,2014-02-12,316,165,Ramirez-Hidalgo R.,0,1st Round,ATP250,Clay,627,84,Gimeno-Traver D.,0,Gimeno-Traver D.
1.12,6.0,3,2014-02-12,1930,18,Almagro N.,0,1st Round,ATP250,Clay,500,111,Zeballos H.,0,Almagro N.
1.61,2.2,3,2014-02-12,211,231,Granollers M.,0,2nd Round,ATP250,Clay,981,43,Andujar P.,0,Andujar P.
1.18,4.5,3,2014-02-12,1960,17,Robredo T.,0,2nd Round,ATP250,Clay,513,108,Pella G.,0,Robredo T.
4.0,1.22,3,2014-02-12,764,58,Mayer L.,0,2nd Round,ATP250,Clay,2260,14,Fognini F.,0,Fognini F.
2.62,1.44,3,2014-02-13,932,46,Haase R.,0,2nd Round,ATP250,Clay,915,48,Berlocq C.,0,Haase R.
2.25,1.57,3,2014-02-13,860,53,Dolgopolov O.,0,2nd Round,ATP250,Clay,940,45,Chardy J.,0,Chardy J.
1.18,4.5,3,2014-02-13,1930,18,Almagro N.,0,2nd Round,ATP250,Clay,627,84,Gimeno-Traver D.,0,Almagro N.
7.0,1.1,3,2014-02-13,773,57,Giraldo S.,0,2nd Round,ATP250,Clay,5280,5,Ferrer D.,0,Ferrer D.
1.53,2.37,3,2014-02-14,598,92,Ramos A.,0,2nd Round,ATP250,Clay,683,77,Volandri F.,0,Ramos A.
3.5,1.28,3,2014-02-14,981,43,Andujar P.,0,Quarterfinals,ATP250,Clay,2260,14,Fognini F.,0,Fognini F.
01.06,8.0,3,2014-02-14,5280,5,Ferrer D.,0,Quarterfinals,ATP250,Clay,598,92,Ramos A.,0,Ferrer D.
3.0,1.36,3,2014-02-15,940,45,Chardy J.,0,Quarterfinals,ATP250,Clay,1930,18,Almagro N.,0,Almagro N.
1.72,2.1,3,2014-02-15,2260,14,Fognini F.,0,Semifinals,ATP250,Clay,1960,17,Robredo T.,0,Fognini F.
3.75,1.28,3,2014-02-15,1930,18,Almagro N.,0,Semifinals,ATP250,Clay,5280,5,Ferrer D.,0,Ferrer D.
1.36,3.25,3,2014-02-16,5280,5,Ferrer D.,0,The Final,ATP250,Clay,2260,14,Fognini F.,0,Ferrer D.
